K,err_rate
21,0.015873015873015872
23,0.031746031746031744
25,0.015873015873015872
27,0.015873015873015872
29,0.031746031746031744
1,0.017241379310344827
3,0.034482758620689655
5,0.034482758620689655
7,0.017241379310344827
9,0.034482758620689655
11,0.034482758620689655
13,0.034482758620689655
15,0.017241379310344827
17,0.017241379310344827
19,0.017241379310344827
21,0.017241379310344827
23,0.017241379310344827
25,0.017241379310344827
27,0.017241379310344827
29,0.034482758620689655
1,0.058823529411764705
3,0.0392156862745098
5,0.0392156862745098
7,0.058823529411764705
9,0.0784313725490196
11,0.058823529411764705
13,0.0392156862745098
15,0.0392156862745098
17,0.0392156862745098
19,0.0392156862745098
21,0.058823529411764705
23,0.058823529411764705
25,0.058823529411764705
27,0.058823529411764705
29,0.058823529411764705
1,0.06
3,0.06
5,0.06
7,0.08
9,0.06
11,0.06
13,0.06
15,0.06
17,0.06
19,0.06
21,0.06
23,0.06
25,0.06
27,0.04
29,0.08
1,0.02
3,0.02
5,0.02
7,0.04
9,0.04
11,0.04
13,0.04
15,0.04
17,0.02
19,0.02
21,0.02
23,0.02
25,0.04
27,0.04
29,0.04
1,0.09302325581395349
3,0.09302325581395349
5,0.06976744186046512
7,0.046511627906976744
9,0.023255813953488372
11,0.046511627906976744
13,0.046511627906976744
15,0.046511627906976744
17,0.046511627906976744
19,0.046511627906976744
21,0.046511627906976744
23,0.046511627906976744
25,0.09302325581395349
27,0.06976744186046512
29,0.046511627906976744
1,0.03278688524590164
3,0.04918032786885246
5,0.04918032786885246
7,0.04918032786885246
9,0.04918032786885246
11,0.06557377049180328
13,0.06557377049180328
15,0.06557377049180328
17,0.08196721311475409
19,0.06557377049180328
21,0.08196721311475409
23,0.09836065573770492
25,0.09836065573770492
27,0.09836065573770492
29,0.09836065573770492
1,0.034482758620689655
3,0.034482758620689655
5,0.05172413793103448
7,0.034482758620689655
9,0.034482758620689655
11,0.034482758620689655
13,0.017241379310344827
15,0.034482758620689655
17,0.05172413793103448
19,0.05172413793103448
21,0.034482758620689655
23,0.034482758620689655
25,0.05172413793103448
27,0.034482758620689655
29,0.017241379310344827
1,0.09836065573770492
3,0.06557377049180328
5,0.08196721311475409
7,0.09836065573770492
9,0.04918032786885246
11,0.03278688524590164
13,0.01639344262295082
15,0.08196721311475409
17,0.06557377049180328
19,0.04918032786885246
21,0.03278688524590164
23,0.04918032786885246
25,0.06557377049180328
27,0.06557377049180328
29,0.06557377049180328
1,0.03773584905660377
3,0.03773584905660377
